,Auther_name,total_words,unique_words
0,Anon_Clara_1864.txt,196520,14544
1,Barclay_Ladies_1917.txt,122135,8248
2,Barclay_Postern_1911.txt,39963,4776
3,Barclay_Rosary_1909.txt,105813,8465
4,Bennet_Babylon_1902.txt,67919,7732
5,Bennet_Helen_1910.txt,52226,6395
6,Bennet_Imperial_1930.txt,254231,15403
7,Blackmore_Erema_1877.txt,166826,11039
8,Blackmore_Lorna_1869.txt,272772,15194
9,Blackmore_Springhaven_1887.txt,201911,13189
10,Braddon_Audley_1862.txt,148611,10820
11,Braddon_Phantom_1883.txt,180607,14497
12,Braddon_Quest_1871.txt,174146,10318
13,Burnett_Garden_1911.txt,80998,5155
14,Burnett_Lord_1886.txt,58664,4770
15,Burnett_Princess_1905.txt,66813,5109
16,Cbronte_Jane_1847.txt,187002,13477
17,Cbronte_Shirley_1849.txt,216011,16147
18,Cbronte_Villette_1853.txt,193993,15690
19,Chesterton_Innocence_1911.txt,79039,8251
20,Chesterton_Napoleon_1904.txt,54844,6794
21,Chesterton_Thursday_1908.txt,57991,6546
22,Conrad_Almayer_1895.txt,62899,6523
23,Conrad_Nostromo_1904.txt,170897,12970
24,Conrad_Rover_1923.txt,87538,7419
25,Corelli_Innocent_1914.txt,121910,13080
26,Corelli_Romance_1886.txt,99430,9030
27,Corelli_Satan_1895.txt,162837,13096
28,Dickens_Bleak_1853.txt,355355,16470
29,Dickens_Expectations_1861.txt,185421,11595
30,Dickens_Oliver_1839.txt,158712,12294
31,Doyle_Hound_1902.txt,59428,5954
32,Doyle_Lost_1912.txt,75871,8184
33,Doyle_Micah_1889.txt,177887,15847
34,Eliot_Adam_1859.txt,215103,12706
35,Eliot_Daniel_1876.txt,311269,16097
36,Eliot_Felix_1866.txt,182316,13121
37,Ford_Girl_1907.txt,34845,4779
38,Ford_Post_1926.txt,69106,8675
39,Ford_Soldier_1915.txt,75849,6982
40,Forster_Angels_1905.txt,49879,5698
41,Forster_Howards_1910.txt,109552,9510
42,Forster_View_1908.txt,67082,7064
43,Galsworthy_Man_1906.txt,109310,9873
44,Galsworthy_River_1933.txt,89592,7768
45,Galsworthy_Saints_1919.txt,94356,8200
46,Gaskell_Lovers_1863.txt,190946,13143
47,Gaskell_Ruth_1855.txt,161655,10212
48,Gaskell_Wives_1865.txt,269753,12354
49,Gissing_Unclassed_1884.txt,124783,8842
50,Gissing_Warburton_1903.txt,84879,7336
51,Gissing_Women_1893.txt,139176,10308
52,Haggard_Mines_1885.txt,82418,7416
53,Haggard_She_1887.txt,112438,9118
54,Haggard_Sheallan_1921.txt,121078,8030
55,Hardy_Jude_1895.txt,145423,11377
56,Hardy_Madding_1874.txt,136833,12357
57,Hardy_Tess_1891.txt,149706,12879
58,James_Ambassadors_1903.txt,164552,9244
59,James_Roderick_1875.txt,132183,10006
60,James_Tragic_1890.txt,207290,11821
61,Kipling_Captains_1896.txt,52896,7403
62,Kipling_Kim_1901.txt,106107,11737
63,Kipling_Light_1891.txt,71589,8597
64,Lawrence_Peacock_1911.txt,124161,10544
65,Lawrence_Serpent_1926.txt,171795,12665
66,Lawrence_Women_1920.txt,181688,13613
67,Lee_Albany_1884.txt,62628,8064
68,Lee_Brown_1884.txt,48148,5998
69,Lee_Penelope_1903.txt,21711,3682
70,Lytton_Kenelm_1873.txt,191444,13810
71,Lytton_Novel_1853.txt,449656,20876
72,Lytton_What_1858.txt,332149,19703
73,Meredith_Feverel_1859.txt,168710,13631
74,Meredith_Marriage_1895.txt,155344,15795
75,Meredith_Richmond_1871.txt,214943,17746
76,Morris_Roots_1890.txt,154239,7849
77,Morris_Water_1897.txt,147680,6502
78,Morris_Wood_1894.txt,49934,3874
79,Schreiner_Farm_1883.txt,100497,7319
80,Schreiner_Trooper_1897.txt,24554,2866
81,Schreiner_Undine_1929.txt,90523,6911
82,Stevenson_Arrow_1888.txt,80249,7203
83,Stevenson_Catriona_1893.txt,101970,7761
84,Stevenson_Treasure_1883.txt,68371,6248
85,Thackeray_Esmond_1852.txt,186725,12119
86,Thackeray_Pendennis_1850.txt,355697,18652
87,Thackeray_Virginians_1859.txt,356091,18010
88,Trollope_Angel_1881.txt,217557,9943
89,Trollope_Phineas_1869.txt,263696,9874
90,Trollope_Warden_1855.txt,72044,7073
91,Ward_Ashe_1905.txt,141357,12945
92,Ward_Harvest_1920.txt,74932,8669
93,Ward_Milly_1881.txt,47582,3660
94,Wcollins_Basil_1852.txt,116443,8449
95,Wcollins_Legacy_1889.txt,119586,7083
96,Wcollins_Woman_1860.txt,246841,10856
97,Woolf_Lighthouse_1927.txt,69653,6893
98,Woolf_Night_1919.txt,166855,10844
99,Woolf_Years_1937.txt,128295,8776
