collocate,raw_frequency,MI
 once,12,7.159566712152833
 much,3,6.606201165015512
 moved,2,8.691547788583062
 by,20,5.542517785909353
 her,71,4.460344043643764
 on,50,5.096678676057994
 the,360,2.968601597198237
 phone,287,15.69233793353239
 she,71,4.6530225934020075
 was,77,4.280581779601518
 only,8,6.502659558004302
 telling,1,9.302097266467038
 him,24,5.155201113477537
 a,93,3.786151529292902
 fact,2,8.336377392765929
 about,10,6.287006601661588
 shut,2,9.111005555318464
 out,7,5.986600345947434
 and,98,3.412229818476745
 went,9,6.838458242736557
 to,160,3.5512359024786684
 attend,2,10.331045767822964
 ringing,7,10.864024196230087
 furiously,1,11.458231428935129
 loitered,1,12.601295480174073
 away,4,6.8975130055178715
 is,13,5.131654264721974
 it,43,4.42329458502577
 basilio,1,13.746427784477076
 asked,4,7.307191523036483
 mrs,6,6.880909190694528
 gould,1,10.043363695371182
 through,5,7.136789788239687
 from,17,5.577374634549733
 office,4,9.300420820139786
 of,85,3.559115589816471
 mine,2,8.290191337247686
 mas,1,14.306043572412499
 get,9,7.428747500915069
 his,29,4.500809903127423
 bolstercover,1,16.385485114092333
 round,4,7.358466799243689
 arms,2,8.335419691176368
 then,8,6.2394436167221725
 stomachpump,1,16.385485114092333
 we,11,5.926676697903664
 give,4,7.447347243719546
 old,3,6.556882758747995
 dear,2,7.262883656424158
 su,1,14.999190752972444
 us,2,6.754003154622979
 unknown,1,9.825869876599091
 land,1,8.817105846255812
 in,76,4.132256973069189
 response,1,11.170549356483349
 nothing,5,7.083568798628942
 more,7,6.11112389821766
 definite,1,10.809536010946017
 than,4,6.355981840973346
 i,52,4.07230398149687
 suppose,2,8.099971805012592
 you,42,4.561244061310847
 have,19,5.2088858964002815
 contraband,1,14.082900021098288
 d,48,9.307987060523102
 duchess,1,10.447948909009908
 send,1,8.953593197284533
 some,7,6.343671432075919
 people,3,7.30787645457011
 meet,1,8.609789364177088
 y,1,11.047947034391015
 can,7,6.418881927242131
 must,4,6.582702265677838
 go,6,6.658197891345225
 doctor,5,8.498652115137277
 table,1,8.20909351745854
 whirred,2,15.286872825424224
 sharply,1,10.187006397600026
 he,129,4.2631310908055555
 see,11,6.4506442538982105
 charming,1,9.71218714632468
 smile,2,8.354424933851716
 into,8,6.213957129359714
 what,9,5.842383022957298
 name,2,7.639404896734821
 did,12,6.370143176782063
 say,6,6.639821646749773
 th,8,9.456947295927668
 macaw,2,13.552271770036118
 not,40,4.955408791151174
 mention,1,9.817407202680359
 sir,8,6.937467321024904
 deryck,1,11.712656279630428
 thinking,1,8.347941928973638
 wanted,5,8.223254048611155
 for,42,4.829279877412165
 freshness,1,11.215001119054183
 alardyce,1,13.677434912990124
 rang,12,10.082866138347429
 had,86,4.646117544022997
 absent,1,10.303266203715888
 himself,9,6.745117111179734
 with,28,4.746156099320268
 consider,1,9.542801831853911
 ourselves,1,9.637898587263019
 rather,1,7.4976943498970074
 light,1,7.652696789119216
 exchange,1,10.884226903547606
 ideas,1,9.671314584182863
 miss,23,7.073671773185517
 datchet,1,12.108818995076279
 instrument,1,10.904846190750343
 justice,1,9.561111444049248
 typewriter,1,13.441046134925893
 bell,12,9.402622362623392
 as,22,4.765419717564203
 hurried,1,9.682297000851472
 off,6,7.20673861370733
 answer,8,8.222113797632423
 voi,1,15.286872825424224
 pencil,1,10.951763110538094
 midst,1,9.83440477904893
 which,6,5.53605094477454
 process,1,10.547754666926394
 left,4,7.284067149340338
 room,13,7.32248533001486
 quotation,1,12.624284998398771
 another,3,7.415561622100817
 imperative,1,12.095025672943942
 katharine,2,9.389718957787483
 dea,1,15.286872825424224
 singularly,1,11.29788877885995
 enough,2,7.4319743510851675
 sharp,2,9.344948723876378
 call,4,8.08619920719506
 still,8,7.008529215143814
 echoed,2,10.783366293212634
 ear,4,9.455968343328685
 body,1,8.608950085907093
 mi,1,13.49511335619617
 alcove,1,13.49511335619617
 stairs,2,9.465801264244924
 placed,1,9.296241959064819
 screened,1,12.291140551870233
 privacy,1,11.750756125862699
 curtain,1,10.267387916050986
 thread,1,11.072279135050547
 sound,3,8.437806542790767
 issuing,1,12.453659481368009
 always,2,7.274633640616893
 colored,1,12.291140551870233
 surroundings,1,11.335629106842797
 voices,1,9.750851756230649
 crowd,1,9.556773042450649
 far,3,7.637338944470405
 end,5,7.79392684072079
 enormous,1,10.458559088121923
 range,1,10.85605602658091
 possibilities,1,11.388272840328218
 denham,1,10.574344121115633
 when,7,5.870575753556653
 lifted,1,9.161460305806504
 lips,2,8.378784268651966
 replied,4,8.307727550355414
 that,64,4.338144459923029
 thought,5,6.738697896399258
 saturday,1,10.447948909009908
 addressed,1,9.647332619496376
 early,2,8.69565644535585
 morning,6,7.64626899903059
 meant,2,8.72348755519044
 cheerful,1,9.960616090186946
 but,26,5.089609305985322
 authoritative,2,12.360133423357185
 tone,3,8.53032810821099
 history,1,9.392469991159373
 at,46,4.980089182064772
 moment,6,7.395043563265472
 cassandra,1,10.661900012139952
 overheard,1,11.623311179294578
 conversation,1,8.865792709975794
 upon,1,6.494019536783531
 would,17,5.657975639145464
 felt,2,7.3623180496411305
 so,16,5.53101558989212
 certain,2,8.194853433188795
 they,14,5.658063375760203
 said,39,5.379492858172752
 goodbye,2,10.010460294264238
 yet,5,7.002789349634046
 if,11,5.686745158059106
 been,16,5.8548299399302355
 miraculously,1,12.984287732430179
 connected,1,10.258615929978149
 higher,1,9.670101727757652
 halting,1,12.39650106752806
 voice,13,7.526690008234885
 just,7,7.122836962492806
 heard,4,7.393798388157509
 tendency,1,11.361604593246058
 spirit,1,8.756967487517278
 seemed,3,7.081927660405017
 be,22,5.131537653445531
 an,9,5.839433401372339
 al,2,13.127388576070851
 frowned,1,11.415671814516333
 looked,7,6.902297158622826
 annoyed,1,10.53328263431786
 this,11,5.582588527050567
 behaves,1,13.207431283744388
 very,6,6.097381628184002
 oddly,2,11.533454850172717
 fo,3,14.188260536756115
 situation,1,9.708401652845199
 leisure,1,10.463906694448518
 why,7,7.403049610532071
 immediately,4,9.231651312513492
 dropped,1,9.118657766571744
 all,10,5.486267380855625
 didn,2,8.426908210278436
 think,2,6.692286587434214
 seized,1,9.853150821869985
 gave,7,7.744836118749178
 number,3,9.449142378258284
 mary,2,8.363244197285796
 ask,4,8.01679193099454
 whether,2,8.08794158473605
 back,4,6.789202300496851
 crossed,2,9.555691376579908
 after,9,6.727067243204111
 series,1,11.143738099032692
 brief,1,9.795184065895647
 remarks,1,10.26080172319813
 announced,1,10.294175232014636
 applied,1,10.991857567739972
 message,5,9.835834371858523
 won,3,8.142728768377857
 wife,2,7.713170285808796
 could,13,5.995198272393069
 control,1,10.447948909009908
 play,2,8.80478536186777
 spy,1,11.038377583374865
 might,7,6.684848409602653
 making,3,8.345360449643954
 both,1,7.6990556054307975
 physically,1,11.658097295379994
 spiritually,1,13.127388576070851
 sat,7,7.716601409435664
 dictionaries,1,14.306043572412499
 spread,1,9.757443737912801
 talked,1,8.910145877525597
 several,1,9.150586693777502
 bells,2,10.892423670751786
 behaved,1,10.414223274301872
 has,6,6.513539829566084
 vision,1,9.618141988826942
 or,15,5.838250731291388
 something,3,7.32445714530316
 greet,1,11.458231428935129
 mother,2,7.164996411064336
 our,1,6.726811733780811
 beam,1,11.458231428935129
 day,6,6.897891865154909
 explained,3,9.721076093741926
 guests,2,10.015584131264108
 their,4,6.236779455923686
 host,1,10.071937067815238
 detained,1,11.589694568495593
 ten,4,8.623740129433422
 minutes,3,8.619916032995018
 knows,1,8.624165933144347
 every,3,7.350808511246039
 costumier,1,15.692337933532388
 london,7,7.993401733718941
 bring,1,8.5718935611399
 police,2,10.466591259819188
 dress,1,8.8938396404872
 comes,2,8.626724569934671
 h,7,11.25558639916926
 bounding,1,12.04167969223865
 glorious,2,10.2263897256004
 godfather,1,12.39650106752806
 cried,1,7.924650656345481
 ruby,1,12.378151928859863
 came,6,6.7206990117863645
 are,2,6.033568754015926
 fitted,1,10.671752308582965
 mr,17,6.2136512254111675
 crook,1,12.453659481368009
 long,2,6.923063940907344
 legs,2,9.383329159688712
 jumping,1,11.517950663636752
 friend,1,7.535254148503518
 florian,1,14.593725644864278
 s,14,8.463949481958785
 bringing,1,9.930286550752212
 costume,1,11.005587760551874
he's ,1,10.162908846020965
 oiled,1,13.127388576070851
 elaboration,1,14.776047201658233
 its,1,6.962374811229503
 machinery,1,11.533454850172717
 lifts,1,12.151378609495074
 barely,1,11.285618686268135
 finished,2,9.436587891779022
 permanent,1,11.510287790891182
 official,1,10.779683047796336
 other,6,6.664959323237584
 never,3,6.509882765045742
 speak,2,7.812857215787996
 word,1,7.619714570105076
 ra,1,13.746427784477076
 displayed,1,11.143738099032692
 none,1,8.556252576548742
 rooms,2,9.299583649726722
 infrequently,1,14.188260536756115
 w,3,12.095025672943942
 aware,4,9.075603628267547
 christophers,1,12.535337512382275
 activities,1,13.01818928410586
 passage,1,9.477729835110196
 struck,1,8.782085774351664
 potatoes,1,11.510287790891182
 porter,2,10.85605602658091
 club,2,10.149115523888629
 there,14,5.744737806377939
 wire,2,11.597993371310288
 marie,3,11.02419294838291
 lo,1,10.896547387935648
 lonie,3,11.74109421495096
 answered,4,7.922325811168582
 told,9,7.4036777907147995
 tell,5,7.140646701708584
 open,1,8.061148781385434
 t,7,8.656189439781853
 jobthat,1,16.385485114092333
 before,8,6.563316082733794
 wolstonmark,1,14.593725644864278
 done,2,7.409981392021407
 job,2,9.939765294706756
 o,8,7.867292422343013
 indeed,1,7.742364366078306
 own,2,6.592203128877232
 initiative,1,13.01818928410586
 christopher,1,10.614043990962317
 better,2,7.394794404176105
 come,5,6.544138958094056
 hi,3,12.984287732430179
 last,5,7.008106042186714
 words,4,7.569224905357752
 afterwards,1,9.038829950915796
 rung,2,11.658097295379994
 family,2,8.115216002655709
 drilling,1,13.612896391852553
 sounded,1,10.103218367196327
 hall,1,8.667688903078751
 strong,1,8.267874367626105
 inertly,1,15.286872825424224
 remembered,2,9.085687747334173
 going,4,7.364974414400427
 speaking,2,8.75211546441275
 french,2,8.797161436757111
 man,10,6.098573584324922
 en,1,11.273497325735791
 hammered,1,13.01818928410586
 iron,1,9.665264958957039
 work,2,7.793369996158837
 ought,3,8.313954220535674
 mark,1,9.404479373370604
 fever,2,10.09762655393055
 profuse,1,12.801966175636224
 sweats,1,15.286872825424224
 should,7,6.465484653181992
 valentines,1,14.776047201658233
 duty,1,8.74921551071296
 key,2,9.82445444819576
 turn,2,8.33159803047411
 hurt,1,9.543869637614742
 hand,1,6.913011273510746
 sensible,1,10.20133622315485
 de,1,8.997775875011293
 bray,1,12.04167969223865
 pape,1,12.122805237051018
 run,1,8.706233688139275
 down,11,6.533343488907794
 narrow,1,9.53430018659859
 niche,1,12.514284103184442
 inner,1,10.466591259819188
 side,2,7.579510454781015
 great,3,6.766750594502107
 ing,1,13.612896391852553
 immense,1,10.209617843986573
 fireplace,1,10.94306740357054
 wall,2,8.929030558916125
 car,1,10.237016818174688
 sister,2,8.369827499534994
 anne,1,9.91623479729656
 effect,2,8.969106634899406
 le,1,11.133211686045703
 dja,1,16.385485114092333
 tlphon,1,16.385485114092333
 delicacy,1,10.892423670751786
 caught,2,8.84009536448051
 dark,2,7.950370033711703
 baby,1,9.403550436935946
 within,1,8.322422202765543
 hear,3,7.846921896939904
 invented,1,11.49513598587058
 professional,1,10.648912816613143
 taken,2,7.954939729401769
 blore,1,14.188260536756115
 dozen,1,9.84445511490243
 explanations,1,11.436725223714166
 town,1,8.420981750540786
 clare,1,9.436587891779022
 let,2,7.279505757440894
 them,9,6.039622099427945
 know,7,6.496045777282265
 halfpast,1,10.681702639436132
 per,1,10.938747742426024
